shot_by_the_police	20160620	8	0	35.8150919	36.3123961
drowned	20160616	1	0	37.8136546	23.8362307
drowned	20160612	1	0	33.5784085	11.9031222
stabbed	20160602	2	0	46.1174981	19.5601164
unknown	20160607	0	1	36.5174058	-6.4323074
exposure	20160607	1	0	50.9010024	4.4833857
died_in_a_sewer	20160609	1	0	35.28	-2.93
drowned	20160601	1	0	46.1675227	20.0005179
drowned	20160603	10	329	32.6853649	25.9012421
drowned	20160602	133	0	32.8708471	12.0631696
murdered	20160530	1	0	59.2549613	18.0629447
drowned	20160601	2	0	40.2712228	22.4930176
unknown	20160529	1	0	38.9633049	20.7539809
unknown	20160530	1	0	33.4625958	13.1328688
drowned	20160528	1	0	37.2912498	13.2358149
drowned	20160526	0	9	35.3626838	15.9465353
burns_or_suffocation	20160525	4	0	35.4811424	12.5794085
hit_by_a_truck	20160528	1	0	50.95129	1.858686
hit_by_a_car	20160525	1	0	26.33	17.22
drowned	20160527	45	215	33.5259117	8.0491191
drowned	20160526	4	0	33.2286864	12.033724
drowned	20160526	0	47	33.1328706	12.2549685
drowned	20160526	0	500	33.3572511	11.3470785
drowned	20160525	5	250	34.0593093	12.3110937
drowned	20160522	0	10	37.4798643	2.4963183
illness	20160519	1	0	38.3760672	25.7167902
unknown	20160516	2	0	31.540432	30.861969
drowned	20160512	1	0	35.89473	-5.32132
bombed	20160509	4	0	36.85	36.83
hit_by_a_car	20160509	1	0	50.95129	1.858686
killed	20160505	28	0	36.1914269	36.7084276
drowned	20160429	0	9	35.9395293	10.8791731
unknown	20160430	1	0	37.713446	26.7753292
unknown	20160429	1	0	37.8391619	23.4804105
drowned	20160429	23	0	37.2768876	10.8044894
drowned	20160429	84	0	32.90608	12.443467
killed	20160426	13	0	31.797583	14.053676
hit_by_a_car	20160421	1	0	41.122493	22.510477
unknown	20160422	1	0	36.89	27.182
bombed	20160418	5	0	36.85	36.83
shot	20160420	8	0	36.65	37.04
drowned	20160415	1	0	37.75	26.97
drowned	20160415	1	0	38.63	26.72
drowned	20160413	469	0	32.97	24.53
drowned	20160418	8	0	35.45	12.39
hit_by_a_car	20160414	1	0	50.0351	8.5735
drowned	20160413	1	0	37.882	24.013
drowned	20160411	7	0	32.8304	11.616
drowned	20160413	1	0	38.086	23.98
suicide	20160325	1	0	49.815273	6.129583
drowned	20160409	5	4	37.75	26.96
shot	20160409	4	0	32.7610953	12.6998942
drowned	20160403	1	0	37.845	23.76
drowned	20160401	1	0	37.68	26.94
ran_over_by_a_truck	20160401	1	0	51.761	-1.246
drowned	20160331	12	0	31.61	30.77
shot	20160331	16	0	36.67	37.15
drowned	20160330	4	86	32.81	12.45
drowned	20160328	0	84	39.027	16.699
ran_over_by_a_truck	20160331	1	0	45.1	5.3
drowned	20160328	1	0	36.05	27.99
drowned	20160325	12	0	32.88	13.7
illness	20160321	1	0	39.2200767	9.0264574
unknown	20160324	1	0	38.25	27.73
unknown	20160323	2	0	41.97	27.51
drowned	20160321	4	0	35.5	11.98
unknown	20160320	2	0	36.1553629	29.4271815
drowned	20160320	2	0	36.09	26.57
drowned	20160320	2	0	36.9	26.9
drowned	20160319	1	0	37.46	15.09
drowned	20160319	1	0	36.64	14.85
drowned	20160319	9	0	32.8	12.61
drowned	20160318	4	0	32.81	12.45
drowned	20160314	0	8	36.8	27.2
drowned	20160316	3	0	37.5	11.9
drowned	20160313	1	0	35.28	-2.93
drowned	20160314	3	0	21.1	22.5
fell_off_a_train	20160311	1	0	48	11.6
drowned	20160309	1	0	37.7	27.01
drowned	20160309	1	0	37.7	26.9
drowned	20160309	5	2	39.3	26.4
drowned	20160306	25	0	37.3	27.2
shot_by_border_police	20160305	10	0	35.8	36.4
unknown	20160302	1	0	39.09	26.53
wounded	20160301	42	0	0	0
unknown	20160223	5	0	37.5	11.9
wounded	20160217	2	0	36.7	37	
drowned	20160219	2	0	37.3	13.4
unknown	20160217	1	0	38.3	26.1
murdered	20160214	1	0	61.21	17.12
disappeared	20160201	0	1	50.9	1.8
starved	20160208	1	0	36.99	35.26
drowned	20160210	1	0	50.9	1.8
drowned	20160208	27	11	39.5	26.9
exposure	20160207	2	0	41.9	27.5
drowned	20160202	9	0	38.1	26.8
drowned	20160131	3	0	37.3	27.2
drowned	20160130	6	64	37.5	11.9
drowned	20160130	39	0	39.4	26.1
drowned	20160129	1	0	37.7	26.8
drowned	20160129	1	0	37.7	26.8
drowned	20160128	6	0	37	16
drowned	20160128	26	11	37.7	26.8
drowned	20160127	7	3	36.8	27.2
drowned	20160126	5	0	37.3	27.2
unknown	20160125	1	0	37.8	12.6
stabbed	20160125	1	0	41	22.4
drowned	20160126	1	0	37.7	26.8
drowned	20160124	2	0	37.7	26.8
drowned	20160124	1	0	38.8	26.4
drowned	20160124	1	0	39.1	26.21
unknown	20160123	2	0	42.42	22.49
ran_over_by_a_truck	20160123	1	0	43.56	13.57
drowned	20160123	1	0	37.7	26.8
drowned	20160122	8	0	37.2	26.8
drowned	20160122	35	0	36.9	26.9
drowned	20160121	13	11	36.8	26.7
hypothermia	20160121	3	0	39.1	26.21
unknown	20160120	1	0	42.42	22.49
drowned	20160118	1	8	37.5	11.9
drowned	20160118	1	0	39.6	26.5
suffocation	20160118	1	0	50.9	1.8
exposure	20160117	1	0	66.9	29.02
suicide	20160116	1	0	52.1	4.7
drowned	20160116	1	0	37.7	26.8
drowned	20160116	6	0	37.7	26.8
drowned	20160115	4	0	39	26
unknown	20160115	1	0	37.2	27
drowned	20160115	3	0	37.3	26.58
